"No.","Time","Source","Destination","Protocol","Length","ThrottlePedalDemand.values.throttleDemand","Brake2Status.values.brakePressed","SpeedStatus.values.speed","SpeedStatus.values.speedRangeFault","CruiseControlDemand.values.throttleDemand","CruiseControlDemand.faults.throttleDemand","Info"
"124","22.076144","10.70.129.112","13.35.199.36","TCP","54","","","","","","","59839  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"125","22.082338","13.35.199.36","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59839 [ACK] Seq=1 Ack=2 Win=133 Len=0 TSval=561739179 TSecr=1422616179"
"126","22.154465","52.97.133.178","10.70.129.112","TLSv1.2","89","","","","","","","Application Data"
"127","22.154470","52.97.133.178","10.70.129.112","TLSv1.2","667","","","","","","","Application Data"
"128","22.154471","52.97.133.178","10.70.129.112","TLSv1.2","343","","","","","","","Application Data"
"129","22.154473","52.97.133.178","10.70.129.112","TLSv1.2","313","","","","","","","Application Data"
"130","22.154474","52.97.133.178","10.70.129.112","TLSv1.2","89","","","","","","","Application Data"
"131","22.154592","10.70.129.112","52.97.133.178","TCP","54","","","","","","","58634  >  443 [ACK] Seq=1 Ack=36 Win=4095 Len=0"
"132","22.154593","10.70.129.112","52.97.133.178","TCP","54","","","","","","","58634  >  443 [ACK] Seq=1 Ack=649 Win=4085 Len=0"
"133","22.154671","10.70.129.112","52.97.133.178","TCP","54","","","","","","","58634  >  443 [ACK] Seq=1 Ack=938 Win=4081 Len=0"
"134","22.154672","10.70.129.112","52.97.133.178","TCP","54","","","","","","","58634  >  443 [ACK] Seq=1 Ack=1197 Win=4077 Len=0"
"135","22.154672","10.70.129.112","52.97.133.178","TCP","54","","","","","","","58634  >  443 [ACK] Seq=1 Ack=1232 Win=4076 Len=0"
"136","22.732764","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"137","22.937425","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"138","23.654610","52.98.145.66","10.70.129.112","TLSv1.2","89","","","","","","","Application Data"
"139","23.654614","52.98.145.66","10.70.129.112","TLSv1.2","891","","","","","","","Application Data"
"140","23.654615","52.98.145.66","10.70.129.112","TLSv1.2","343","","","","","","","Application Data"
"141","23.654616","52.98.145.66","10.70.129.112","TLSv1.2","89","","","","","","","Application Data"
"142","23.654702","10.70.129.112","52.98.145.66","TCP","54","","","","","","","58660  >  443 [ACK] Seq=1 Ack=36 Win=4095 Len=0"
"143","23.654770","10.70.129.112","52.98.145.66","TCP","54","","","","","","","58660  >  443 [ACK] Seq=1 Ack=873 Win=4082 Len=0"
"144","23.654770","10.70.129.112","52.98.145.66","TCP","54","","","","","","","58660  >  443 [ACK] Seq=1 Ack=1162 Win=4077 Len=0"
"145","23.654770","10.70.129.112","52.98.145.66","TCP","54","","","","","","","58660  >  443 [ACK] Seq=1 Ack=1197 Win=4077 Len=0"
"146","23.696008","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"147","23.961508","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"148","24.780916","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"149","24.985578","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"150","24.985580","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"151","25.320108","10.70.129.112","104.18.5.138","TCP","54","","","","","","","59842  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"152","25.327877","104.18.5.138","10.70.129.112","TCP","60","","","","","","","[TCP ACKed unseen segment] 443  >  59842 [ACK] Seq=1 Ack=2 Win=73 Len=0"
"153","25.600231","140.82.112.26","10.70.129.112","TLSv1.2","92","","","","","","","[TCP ACKed unseen segment] , Application Data"
"154","25.600346","10.70.129.112","140.82.112.26","TCP","66","","","","","","","[TCP Previous segment not captured] 59756  >  443 [ACK] Seq=2 Ack=27 Win=2047 Len=0 TSval=1422844737 TSecr=1159703148"
"155","25.600560","10.70.129.112","140.82.112.26","TLSv1.2","96","","","","","","","Application Data"
"156","25.647686","10.70.129.112","142.250.180.10","TCP","54","","","","","","","59862  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"157","25.652869","142.250.180.10","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59862 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=2102687318 TSecr=1422619760"
"158","25.683833","140.82.112.26","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59756 [ACK] Seq=27 Ack=32 Win=70 Len=0 TSval=1159703333 TSecr=1422844737"
"159","25.758002","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.69? Tell 10.70.128.1"
"160","26.010216","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"161","26.010219","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"162","26.214738","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.119? Tell 10.70.128.1"
"163","27.033921","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"164","27.033924","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"165","27.750282","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"166","28.057486","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"167","28.095796","10.70.129.112","104.18.143.51","TCP","54","","","","","","","59837  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"168","28.101531","104.18.143.51","10.70.129.112","TCP","60","","","","","","","[TCP ACKed unseen segment] 443  >  59837 [ACK] Seq=1 Ack=2 Win=281 Len=0"
"169","28.204803","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"170","28.672299","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"171","28.979229","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"172","29.286783","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"173","29.696959","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"174","30.003035","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"175","30.310283","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"176","31.027366","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"177","31.539100","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"178","31.539102","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.143.222? Tell 10.70.128.1"
"179","32.051004","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"180","32.562987","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"181","32.562989","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.143.222? Tell 10.70.128.1"
"182","32.870168","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.97? Tell 10.70.128.1"
"183","33.074966","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"184","33.485343","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"185","33.797087","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.97? Tell 10.70.128.1"
"186","34.102032","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"187","34.815945","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"188","34.815950","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.97? Tell 10.70.128.1"
"189","35.122957","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"190","35.430203","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"191","35.737480","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"192","36.146885","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"193","36.352057","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"194","36.352062","13.35.199.36","10.70.129.112","TLSv1.2","105","","","","","","","[TCP ACKed unseen segment] , Application Data"
"195","36.352064","13.35.199.36","10.70.129.112","TLSv1.2","90","","","","","","","[TCP ACKed unseen segment] , Application Data"
"196","36.352065","13.35.199.36","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59839 [FIN, ACK] Seq=64 Ack=2 Win=133 Len=0 TSval=561753389 TSecr=1422616179"
"197","36.352066","13.35.199.36","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] [TCP Out-Of-Order] 443  >  59839 [FIN, ACK] Seq=64 Ack=2 Win=133 Len=0 TSval=561753441 TSecr=1422616179"
"198","36.352199","10.70.129.112","13.35.199.36","TCP","66","","","","","","","[TCP Previous segment not captured] 59839  >  443 [ACK] Seq=2 Ack=40 Win=2047 Len=0 TSval=1422855480 TSecr=561753388"
"199","36.352201","10.70.129.112","13.35.199.36","TCP","66","","","","","","","59839  >  443 [ACK] Seq=2 Ack=64 Win=2047 Len=0 TSval=1422855480 TSecr=561753388"
"200","36.352287","10.70.129.112","13.35.199.36","TCP","66","","","","","","","59839  >  443 [ACK] Seq=2 Ack=65 Win=2047 Len=0 TSval=1422855480 TSecr=561753389"
"201","36.352288","10.70.129.112","13.35.199.36","TCP","66","","","","","","","[TCP Dup ACK 200#1] 59839  >  443 [ACK] Seq=2 Ack=65 Win=2047 Len=0 TSval=1422855480 TSecr=561753389"
"202","36.352463","10.70.129.112","13.35.199.36","TCP","66","","","","","","","59839  >  443 [FIN, ACK] Seq=2 Ack=65 Win=2048 Len=0 TSval=1422855480 TSecr=561753389"
"203","36.360030","13.35.199.36","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59839 [ACK] Seq=65 Ack=3 Win=133 Len=0 TSval=561753455 TSecr=1422855480"
"204","36.761410","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"205","37.068590","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"206","37.375921","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"207","37.990251","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"208","38.047772","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"209","39.014877","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"210","39.110558","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"211","39.147362","10.70.129.112","172.217.169.46","TCP","54","","","","","","","59873  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=0"
"212","39.153423","172.217.169.46","10.70.129.112","TCP","66","","","","","","","[TCP ACKed unseen segment] 443  >  59873 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=624441388 TSecr=1422723259"
"213","39.196078","10.70.129.112","104.17.32.82","TCP","54","","","","","","","59867  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"214","39.202333","104.17.32.82","10.70.129.112","TCP","60","","","","","","","[TCP ACKed unseen segment] 443  >  59867 [ACK] Seq=1 Ack=2 Win=74 Len=0"
"215","39.526438","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.7? Tell 10.70.128.1"
"216","40.038154","142.250.180.10","10.70.129.112","TLSv1.2","139","","","","","","","[TCP ACKed unseen segment] , Application Data"
"217","40.038223","10.70.129.112","142.250.180.10","TCP","66","","","","","","","[TCP Previous segment not captured] 59862  >  443 [ACK] Seq=2 Ack=74 Win=2046 Len=0 TSval=1422859161 TSecr=2102701684"
"218","40.038441","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"219","40.111452","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"220","40.550581","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.7? Tell 10.70.128.1"
"221","41.164845","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"222","41.229186","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"223","41.574231","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.7? Tell 10.70.128.1"
"224","41.830485","10.70.129.112","17.36.202.136","TLSv1.2","85","","","","","","","Encrypted Alert"
"225","41.832025","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [FIN, ACK] Seq=32 Ack=1 Win=4096 Len=0"
"226","41.862305","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.140.240? Tell 10.70.128.1"
"227","41.929257","17.36.202.136","10.70.129.112","TCP","60","","","","","","","443  >  59909 [ACK] Seq=1 Ack=32 Win=302 Len=0"
"228","41.929262","17.36.202.136","10.70.129.112","TLSv1.2","85","","","","","","","Encrypted Alert"
"229","41.929263","17.36.202.136","10.70.129.112","TCP","60","","","","","","","443  >  59909 [ACK] Seq=33 Ack=33 Win=302 Len=0"
"230","41.929401","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [RST] Seq=32 Win=0 Len=0"
"231","41.929402","10.70.129.112","17.36.202.136","TCP","54","","","","","","","59909  >  443 [RST] Seq=33 Win=0 Len=0"
"232","42.291910","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"233","42.342421","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"234","42.580749","10.70.129.112","162.159.136.232","TCP","54","","","","","","","59878  >  443 [ACK] Seq=1 Ack=1 Win=32768 Len=0"
"235","42.587871","162.159.136.232","10.70.129.112","TCP","60","","","","","","","[TCP ACKed unseen segment] 443  >  59878 [ACK] Seq=1 Ack=2 Win=67 Len=0"
"236","42.906516","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.140.240? Tell 10.70.128.1"
"237","43.012540","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"238","43.315623","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.142.159? Tell 10.70.128.1"
"239","43.343905","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.141.120? Tell 10.70.128.1"
"240","43.930107","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.140.240? Tell 10.70.128.1"
"241","44.013424","00:fe:ed:c0:ff:ee","Apple_71:a3:f8","ARP","60","","","","","","","Who has 10.70.129.39? Tell 10.70.128.1"
"242","44.163504","10.70.129.112","17.248.176.203","TLSv1.2","90","","","","","","","Application Data"
"243","44.165089","10.70.129.112","17.248.176.203","TCP","66","","","","","","","59910  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=1422863281 TSecr=3016321583"
"244","44.185472","17.248.176.203","10.70.129.112","TCP","66","","","","","","","443  >  59910 [FIN, ACK] Seq=1 Ack=25 Win=330 Len=0 TSval=3016380876 TSecr=1422863280"
